id,chapter,chapterNameHe,descriptionHe,qty,unit,sectionId,coverage,coverageRef,coveredByContractId,noteHe
06.02.030,06,נגרות ומסגרות,ארונות חשמל ותקשורת,48,יח׳,13,not_contracted,,,
06.03.010,06,נגרות ומסגרות,סולמות ופתחי גישה,12,יח׳,13,not_contracted,,,
06.03.020,06,נגרות ומסגרות,שערים לחדרי מכונות,6,יח׳,13,not_contracted,,,
07.01.010,07,תברואה,צנרת מים קרים וחמים,4800,מ׳,08,covered,חוזה 08-01,08-01,
07.01.020,07,תברואה,צנרת דלוחין וביוב פנימית,3900,מ׳,08,covered,חוזה 08-01,08-01,
07.01.030,07,תברואה,כלים סניטריים,192,יח׳,08,covered,חוזה 08-01,08-01,
07.02.010,07,תברואה,מערכת הגברת לחץ,2,קומפ׳,08,covered,חוזה 08-01,08-01,
07.02.020,07,תברואה,צנרת גז,1100,מ׳,08,covered,חוזה 08-01,08-01,
07.02.030,07,תברואה,מערכת סולארית,48,יח׳,08,covered,חוזה 08-01,08-01,
07.03.010,07,תברואה,ניקוז מזגנים,1400,מ׳,08,covered,חוזה 08-01,08-01,
07.03.020,07,תברואה,שרוולים תת-קרקעיים,1,קומפ׳,08,covered,חוזה 08-01,08-01,
08.01.010,08,חשמל,לוחות חשמל דירתיים,48,יח׳,09,covered,חוזה 09-01,09-01,
08.01.020,08,חשמל,לוח חשמל ראשי,2,יח׳,09,covered,חוזה 09-01,09-01,
08.01.030,08,חשמל,נקודות מאור,3360,יח׳,09,covered,חוזה 09-01,09-01,
08.02.010,08,חשמל,נקודות כוח,2880,יח׳,09,covered,חוזה 09-01,09-01,
08.02.020,08,חשמל,תשתיות תקשורת,48,יח׳,09,covered,חוזה 09-01,09-01,
08.02.030,08,חשמל,הארקת יסוד,2,קומפ׳,09,covered,חוזה 09-01,09-01,
08.03.010,08,חשמל,תאורת חירום ושילוט,210,יח׳,09,covered,חוזה 09-01,09-01,
08.03.020,08,חשמל,אינטרקום,48,יח׳,09,covered,חוזה 09-01,09-01,
09.01.010,09,טיח,טיח פנים,14800,מ״ר,06,covered,חוזה 06-01,06-01,
09.01.020,09,טיח,טיח חוץ,6300,מ״ר,06,covered,חוזה 06-01,06-01,
09.01.030,09,טיח,טיח תרמי,1200,מ״ר,06,covered,חוזה 06-01,06-01,
09.02.010,09,טיח,פינות מגן,4100,מ׳,06,covered,חוזה 06-01,06-01,
10.01.010,10,ריצוף וחיפוי,ריצוף גרניט פורצלן 60/60,4900,מ״ר,12,not_contracted,,,
10.01.020,10,ריצוף וחיפוי,ריצוף חדרים רטובים,1450,מ״ר,12,not_contracted,,,
10.01.030,10,ריצוף וחיפוי,חיפוי קירות חדרים רטובים,3100,מ״ר,12,not_contracted,,,
10.02.010,10,ריצוף וחיפוי,ריצוף מרפסות,960,מ״ר,12,not_contracted,,,
10.02.020,10,ריצוף וחיפוי,ריצוף לובי וחדרי מדרגות,620,מ״ר,12,not_contracted,,,
10.02.030,10,ריצוף וחיפוי,שיש למטבחים,48,יח׳,12,not_contracted,,,
10.03.010,10,ריצוף וחיפוי,פנלים,5400,מ׳,12,not_contracted,,,
10.03.020,10,ריצוף וחיפוי,ריצוף חניון (החלקת בטון),2400,מ״ר,12,not_contracted,,,
11.01.010,11,צבע,צבע פנים על טיח,14800,מ״ר,15,not_contracted,,,
11.01.020,11,צבע,צבע חוץ,6300,מ״ר,15,not_contracted,,,
11.01.030,11,צבע,צבע על גבס,5100,מ״ר,15,not_contracted,,,
11.02.010,11,צבע,צביעת מסגרות,620,מ״ר,15,not_contracted,,,
12.01.010,12,אלומיניום,חלונות הזזה,288,יח׳,11,covered,חוזה 11-01,11-01,
12.01.020,12,אלומיניום,ויטרינות סלון,48,יח׳,11,covered,חוזה 11-01,11-01,
12.01.030,12,אלומיניום,תריסי גלילה,288,יח׳,11,covered,חוזה 11-01,11-01,
12.02.010,12,אלומיניום,מעקות זכוכית למרפסות,380,מ׳,11,covered,חוזה 11-01,11-01,
12.02.020,12,אלומיניום,דלתות כניסה ללובי,4,יח׳,11,covered,חוזה 11-01,11-01,
12.02.030,12,אלומיניום,רפפות למערכות,96,יח׳,11,covered,חוזה 11-01,11-01,
15.01.010,15,מיזוג אוויר,מזגנים מיני-מרכזיים דירתיים,48,יח׳,10,covered,חוזה 10-01,10-01,
15.01.020,15,מיזוג אוויר,תעלות אוויר,2300,מ׳,10,covered,חוזה 10-01,10-01,
15.01.030,15,מיזוג אוויר,צנרת גז מיזוג,1900,מ׳,10,covered,חוזה 10-01,10-01,
15.02.010,15,מיזוג אוויר,מפזרי אוויר,480,יח׳,10,covered,חוזה 10-01,10-01,
15.02.020,15,מיזוג אוויר,בקרה ותרמוסטטים,48,יח׳,10,covered,חוזה 10-01,10-01,
15.02.030,15,מיזוג אוויר,אוורור חדרים רטובים,144,יח׳,10,covered,חוזה 10-01,10-01,
17.01.010,17,מעליות,מעלית נוסעים 8 תחנות,4,יח׳,14,covered,חוזה 14-01 (מוחרג מחוזה השלד 02-01 §2.6 ומכוסה בחוזה המעליות),14-01,מוחרג מחוזה השלד אך מכוסה — אין פער
17.01.020,17,מעליות,הרצה ואישור מכון התקנים,4,קומפ׳,14,covered,חוזה 14-01 (מוחרג מחוזה השלד 02-01 §2.6 ומכוסה בחוזה המעליות),14-01,מוחרג מחוזה השלד אך מכוסה — אין פער
22.01.010,22,גבס,תקרות גבס,3800,מ״ר,15,not_contracted,,,
22.01.020,22,גבס,קירות גבס,1300,מ״ר,15,not_contracted,,,
22.01.030,22,גבס,סינרי גבס,2100,מ׳,15,not_contracted,,,
22.02.010,22,גבס,פתחי גישה,96,יח׳,15,not_contracted,,,
23.01.010,23,כלונסאות,כלונסאות קדוחים קוטר 60,1450,מ׳,04,covered,חוזה 04-01,04-01,
23.01.020,23,כלונסאות,כלונסאות קדוחים קוטר 80,620,מ׳,04,covered,חוזה 04-01,04-01,
23.01.030,23,כלונסאות,ראשי כלונסאות,96,יח׳,04,covered,חוזה 04-01,04-01,
23.02.010,23,כלונסאות,בדיקות סוניות,96,יח׳,04,covered,חוזה 04-01,04-01,
34.01.010,34,גילוי וכיבוי אש,מערכת ספרינקלרים לחניון,2400,מ״ר,16,not_contracted,,,
34.01.020,34,גילוי וכיבוי אש,גלאי עשן ולוח בקרה,1,קומפ׳,16,not_contracted,,,
34.01.030,34,גילוי וכיבוי אש,עמדות כיבוי,14,יח׳,16,not_contracted,,,
34.02.010,34,גילוי וכיבוי אש,מערכת שחרור עשן,1,קומפ׳,16,not_contracted,,,
40.01.010,40,פיתוח האתר,קירות תומכים מבטון,210,מ״ק,07,covered,חוזה 07-01,07-01,
40.01.020,40,פיתוח האתר,ריצוף אבן משתלבת,1650,מ״ר,07,covered,חוזה 07-01,07-01,
40.01.030,40,פיתוח האתר,גינון והשקיה,1,קומפ׳,07,covered,חוזה 07-01,07-01,
40.02.010,40,פיתוח האתר,גדר היקפית,240,מ׳,07,covered,חוזה 07-01,07-01,
40.02.020,40,פיתוח האתר,תאורת חוץ,32,יח׳,07,covered,חוזה 07-01,07-01,
40.02.030,40,פיתוח האתר,ריהוט גן,1,קומפ׳,07,covered,חוזה 07-01,07-01,
40.03.010,40,פיתוח האתר,מדרגות חוץ,42,מ׳,07,covered,חוזה 07-01,07-01,
40.03.020,40,פיתוח האתר,רמפות לחניון,2,קומפ׳,07,covered,חוזה 07-01,07-01,
44.01.010,44,שערים ומחסומים,שער חניון חשמלי,2,יח׳,16,not_contracted,,,
44.01.020,44,שערים ומחסומים,מחסום זרוע,2,יח׳,16,not_contracted,,,
51.01.010,51,סלילה,מצע סוג א׳,1100,מ״ק,07,covered,חוזה 07-01,07-01,
51.01.020,51,סלילה,אספלט לחניה עילית,1300,מ״ר,07,covered,חוזה 07-01,07-01,
51.01.030,51,סלילה,אבני שפה,420,מ׳,07,covered,חוזה 07-01,07-01,
51.02.010,51,סלילה,סימון וצביעה,1,קומפ׳,07,covered,חוזה 07-01,07-01,
57.01.010,57,"קווי מים, ביוב וניקוז","צינור מים פוליאתילן 110 מ״מ, כולל חפירה ומילוי",140,מ׳,07,covered,חוזה 07-01,07-01,
57.01.020,57,"קווי מים, ביוב וניקוז",קו ביוב PVC SN8 200 מ״מ בתחום המגרש,95,מ׳,07,covered,חוזה 07-01,07-01,
57.01.030,57,"קווי מים, ביוב וניקוז",שוחות בקרה לביוב קוטר 100 ס״מ,6,יח׳,07,covered,חוזה 07-01,07-01,
57.02.010,57,"קווי מים, ביוב וניקוז",קווי ניקוז פנימיים PVC 250 מ״מ,60,מ׳,07,covered,חוזה 07-01,07-01,
57.03.040,57,"קווי מים, ביוב וניקוז","צינור ניקוז PVC קשיח SN8 קוטר 400 מ״מ, כולל חפירה, מצע ומילוי, עומק עד 2.5 מ׳",80,מ׳,07,excluded,חוזה 07-01 §3.4 — מוחרג,,קו ראשי עד נקודת החיבור העירונית
57.02.030,57,"קווי מים, ביוב וניקוז",מחבר לתשתית עירונית כולל קידוח ואטימה,1,קומפ׳,07,covered,חוזה 07-01,07-01,
