id,date,supplierId,sectionId,contractId,descriptionHe,qty,unit,unitPrice,amount,deliveredQty,invoicedAmount,status,attachmentId,kind
2215,2025-11-01,SUP-GEN,01,,הזמנת מסגרת — השכרת גנרטור וציוד — 15 חודשים,15,חודשים,4500,67500,10,40130,פתוחה,,blanket
2216,2025-12-10,SUP-GEN,01,,השכרת מלגזה טלסקופית — 3 חודשים,3,חודשים,9000,27000,3,0,פתוחה,,one_off
2217,2025-12-10,SUP-TRANS,01,,מכולות אחסון — 6 יח׳,6,יח׳,2400,14400,3,0,פתוחה,,one_off
2218,2025-12-10,SUP-PPE,01,,ציוד מגן אישי — 120 ערכות,120,ערכה,180,21600,60,0,פתוחה,,one_off
2219,2026-01-10,SUP-PPE,01,,שילוט בטיחות ותמרור אתר — 40 יח׳,40,יח׳,220,8800,40,0,פתוחה,,one_off
2220,2026-01-10,SUP-LAB,01,,בדיקות בטון — 200 דגימות,200,דגימה,95,19000,100,0,פתוחה,,one_off
2221,2026-01-10,SUP-GEO,04,,בדיקות קרקע ויעוץ ביסוס — 25 בדיקות,25,בדיקה,1800,45000,12,0,פתוחה,,one_off
2222,2026-02-10,SUP-GEN,01,,"אספקת דלק לגנרטור — 6,000 ליטר",6000,ליטר,6.5,39000,6000,0,פתוחה,,one_off
2223,2026-02-10,SUP-ITUM,05,,חומרי איטום לתיקונים — 800 ליטר,800,ליטר,42,33600,400,0,פתוחה,,one_off
2224,2026-02-10,SUP-TRANS,01,,שירותי הובלה כבדה — 20 הובלות,20,הובלה,1900,38000,10,0,פתוחה,,one_off
2225,2026-03-10,SUP-ENG,18,,פיקוח עליון קונסטרוקטור — 12 ביקורים,12,ביקור,3500,42000,12,0,פתוחה,,one_off
2226,2026-03-10,SUP-INS,18,,ביטוח עבודות קבלניות — פוליסה שנתית,1,פוליסה,210000,210000,0,0,פתוחה,,one_off
2227,2026-03-10,SUP-STD,18,,בדיקות מכון התקנים — 6 בדיקות,6,בדיקה,4200,25200,3,0,פתוחה,,one_off
2228,2026-04-10,SUP-GEN,01,,השכרת מדחס וכלי אוויר — 4 חודשים,4,חודשים,3200,12800,4,0,פתוחה,,one_off
2229,2026-04-10,SUP-SAFETY,01,,הדרכות בטיחות תקופתיות — 8 הדרכות,8,הדרכה,1400,11200,4,0,פתוחה,,one_off
2230,2026-04-10,SUP-SURVEY,01,,מדידת AS-MADE שלד בניין A — 1 קומפ׳,1,קומפ׳,12000,12000,0,0,פתוחה,,one_off
2231,2026-05-10,SUP-WASTE,01,,מכולות פסולת נוספות — 30 פינויים,30,פינוי,650,19500,30,0,פתוחה,,one_off
2232,2026-05-10,SUP-COMMS,01,,מצלמות אבטחה לאתר — 8 יח׳,8,יח׳,1150,9200,4,0,פתוחה,,one_off
2233,2026-05-10,SUP-FENCE,01,,גדר הצללה נוספת לחזית — 120 מ׳,120,מ׳,95,11400,60,0,פתוחה,,one_off
2234,2026-06-10,SUP-OFFICE,01,,מיזוג למשרדי אתר — 3 יח׳,3,יח׳,3400,10200,3,0,פתוחה,,one_off
2235,2026-06-10,SUP-PUMP,01,,משאבת בטון סטטית לקומות עליונות — 2 חודשים,2,חודשים,14000,28000,1,0,פתוחה,,one_off
2236,2026-06-10,SUP-ENG,18,,יועץ אקוסטיקה — חוות דעת,1,קומפ׳,18000,18000,0,0,פתוחה,,one_off
2237,2026-07-10,SUP-ENG,18,,יועץ נגישות — ליווי עד טופס 4,1,קומפ׳,22000,22000,1,0,פתוחה,,one_off
2240,2026-07-01,SUP-PLADOT,03,03-F,"ברזל זיון מצולע, קטרים 10–16 מ״מ — 60 טון",60,טון,4000,240000,60,240000,סגורה,,one_off
2291,2026-08-22,SUP-PLADOT,03,03-F,"ברזל זיון מצולע, קטרים 8–16 מ״מ",12000,טון,4.8,57600,0,0,פתוחה,quote_pladot_12t,one_off
