id,supplierId,supplierDocNo,docType,partialNo,period,date,dateReceived,enteredAt,enteredBy,sectionId,contractId,poId,descriptionHe,amount,cumulativePrev,cumulativeNow,retentionPct,retentionAmt,netPayable,building,status,approvedBy,attachmentId,quantity,unit,unitPrice
962,SUP-SURVEY,202512-SUR,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,מדידות — דצמבר 2025,3730,,,0,0,3730,משותף,שולם,EYAL,,1,חודש,3730
963,SUP-SAFETY,202512-SAF,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,ייעוץ בטיחות — דצמבר 2025,3160,,,0,0,3160,משותף,שולם,EYAL,,1,חודש,3160
964,SUP-WASTE,202512-WAS,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,פינוי פסולת בניין — דצמבר 2025,4830,,,0,0,4830,משותף,שולם,EYAL,,1,חודש,4830
965,SUP-PUMP,202512-PUM,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,משאבות בטון — דצמבר 2025,12190,,,0,0,12190,משותף,שולם,EYAL,,1,חודש,12190
966,SUP-FENCE,202512-FEN,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,גדרות ושערי אתר — דצמבר 2025,1950,,,0,0,1950,משותף,שולם,EYAL,,1,חודש,1950
967,SUP-OFFICE,202512-OFF,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,השכרת משרדי אתר — דצמבר 2025,6190,,,0,0,6190,משותף,שולם,EYAL,,1,חודש,6190
968,SUP-COMMS,202512-COM,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,תקשורת ושילוט — דצמבר 2025,1410,,,0,0,1410,משותף,שולם,EYAL,,1,חודש,1410
969,SUP-GEN,202512-GEN,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,השכרת גנרטור וציוד — דצמבר 2025,4310,,,0,0,4310,משותף,שולם,EYAL,,1,חודש,4310
970,SUP-BM,שלד-2,חשבון חלקי,2,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 2 — עבודות שלד, דצמבר 2025",600000,400000,1000000,5,30000,570000,A,שולם,EYAL,,,,
971,SUP-DORON,עפר-2,חשבון חלקי,2,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,04,04-01,,"חשבון חלקי מס׳ 2 — עבודות עפר, דיפון וכלונסאות",600000,500000,1100000,5,30000,570000,משותף,שולם,EYAL,,,,
972,INTERNAL,הקצאה-2,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — דצמבר 2025",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
973,SUP-PLADOT,ת.מ. 4424,חשבונית מס,,2026-01,2026-01-08,2026-01-08,2026-01-09,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 26 טון,104000,,,0,0,104000,A,שולם,EYAL,,26,טון,4000
974,SUP-PLADOT,ת.מ. 4431,חשבונית מס,,2026-01,2026-01-22,2026-01-22,2026-01-23,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 22 טון,88000,,,0,0,88000,B,שולם,EYAL,,22,טון,4000
975,SUP-CRANE,202601-CRA,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,השכרת מנוף צריח — ינואר 2026,32130,,,0,0,32130,משותף,שולם,EYAL,,1,חודש,32130
976,SUP-GUARD,202601-GUA,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,שמירה באתר — ינואר 2026,17720,,,0,0,17720,משותף,שולם,EYAL,,1,חודש,17720
977,SUP-TOILET,202601-TOI,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,שירותים ניידים — ינואר 2026,2690,,,0,0,2690,משותף,שולם,EYAL,,1,חודש,2690
978,SUP-SCAFF,202601-SCA,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,השכרת פיגומים — ינואר 2026,11870,,,0,0,11870,משותף,שולם,EYAL,,1,חודש,11870
979,SUP-FORM,202601-FOR,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,השכרת טפסות ותמיכות — ינואר 2026,14700,,,0,0,14700,משותף,שולם,EYAL,,1,חודש,14700
980,SUP-UTIL,202601-UTI,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,חשמל ומים לאתר — ינואר 2026,5600,,,0,0,5600,משותף,שולם,EYAL,,1,חודש,5600
981,SUP-LAB,202601-LAB,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,בדיקות בטון וקרקע — ינואר 2026,4020,,,0,0,4020,משותף,שולם,EYAL,,1,חודש,4020
982,SUP-SURVEY,202601-SUR,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,מדידות — ינואר 2026,3240,,,0,0,3240,משותף,שולם,EYAL,,1,חודש,3240
983,SUP-SAFETY,202601-SAF,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,ייעוץ בטיחות — ינואר 2026,3000,,,0,0,3000,משותף,שולם,EYAL,,1,חודש,3000
984,SUP-WASTE,202601-WAS,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,פינוי פסולת בניין — ינואר 2026,5080,,,0,0,5080,משותף,שולם,EYAL,,1,חודש,5080
985,SUP-PUMP,202601-PUM,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,משאבות בטון — ינואר 2026,11610,,,0,0,11610,משותף,שולם,EYAL,,1,חודש,11610
986,SUP-FENCE,202601-FEN,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,גדרות ושערי אתר — ינואר 2026,1910,,,0,0,1910,משותף,שולם,EYAL,,1,חודש,1910
987,SUP-OFFICE,202601-OFF,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,השכרת משרדי אתר — ינואר 2026,6230,,,0,0,6230,משותף,שולם,EYAL,,1,חודש,6230
988,SUP-COMMS,202601-COM,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,תקשורת ושילוט — ינואר 2026,1490,,,0,0,1490,משותף,שולם,EYAL,,1,חודש,1490
989,SUP-GEN,202601-GEN,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,01,,,השכרת גנרטור וציוד — ינואר 2026,4740,,,0,0,4740,משותף,שולם,EYAL,,1,חודש,4740
990,SUP-BM,שלד-3,חשבון חלקי,3,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 3 — עבודות שלד, ינואר 2026",750000,1000000,1750000,5,37500,712500,A,שולם,EYAL,,,,
991,SUP-DORON,עפר-3,חשבון חלקי,3,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,04,04-01,,"חשבון חלקי מס׳ 3 — עבודות עפר, דיפון וכלונסאות",550000,1100000,1650000,5,27500,522500,משותף,שולם,EYAL,,,,
992,INTERNAL,הקצאה-3,חשבונית מס,,2026-01,2026-01-31,2026-01-31,2026-02-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — ינואר 2026",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
993,SUP-PLADOT,ת.מ. 4438,חשבונית מס,,2026-02,2026-02-05,2026-02-05,2026-02-06,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 28 טון,112000,,,0,0,112000,A,שולם,EYAL,,28,טון,4000
994,SUP-PLADOT,ת.מ. 4445,חשבונית מס,,2026-02,2026-02-19,2026-02-19,2026-02-20,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 24 טון,96000,,,0,0,96000,B,שולם,EYAL,,24,טון,4000
995,SUP-CRANE,202602-CRA,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,השכרת מנוף צריח — פברואר 2026,28120,,,0,0,28120,משותף,שולם,EYAL,,1,חודש,28120
996,SUP-GUARD,202602-GUA,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,שמירה באתר — פברואר 2026,18450,,,0,0,18450,משותף,שולם,EYAL,,1,חודש,18450
997,SUP-TOILET,202602-TOI,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,שירותים ניידים — פברואר 2026,2440,,,0,0,2440,משותף,שולם,EYAL,,1,חודש,2440
998,SUP-SCAFF,202602-SCA,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,השכרת פיגומים — פברואר 2026,12270,,,0,0,12270,משותף,שולם,EYAL,,1,חודש,12270
999,SUP-FORM,202602-FOR,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,השכרת טפסות ותמיכות — פברואר 2026,16170,,,0,0,16170,משותף,שולם,EYAL,,1,חודש,16170
1000,SUP-UTIL,202602-UTI,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,חשמל ומים לאתר — פברואר 2026,5930,,,0,0,5930,משותף,שולם,EYAL,,1,חודש,5930
1001,SUP-LAB,202602-LAB,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,בדיקות בטון וקרקע — פברואר 2026,4250,,,0,0,4250,משותף,שולם,EYAL,,1,חודש,4250
1002,SUP-SURVEY,202602-SUR,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,מדידות — פברואר 2026,3520,,,0,0,3520,משותף,שולם,EYAL,,1,חודש,3520
1003,SUP-SAFETY,202602-SAF,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,ייעוץ בטיחות — פברואר 2026,3160,,,0,0,3160,משותף,שולם,EYAL,,1,חודש,3160
1004,SUP-WASTE,202602-WAS,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,פינוי פסולת בניין — פברואר 2026,5260,,,0,0,5260,משותף,שולם,EYAL,,1,חודש,5260
1005,SUP-PUMP,202602-PUM,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,משאבות בטון — פברואר 2026,11130,,,0,0,11130,משותף,שולם,EYAL,,1,חודש,11130
1006,SUP-FENCE,202602-FEN,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,גדרות ושערי אתר — פברואר 2026,1960,,,0,0,1960,משותף,שולם,EYAL,,1,חודש,1960
1007,SUP-OFFICE,202602-OFF,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,השכרת משרדי אתר — פברואר 2026,6010,,,0,0,6010,משותף,שולם,EYAL,,1,חודש,6010
1008,SUP-COMMS,202602-COM,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,תקשורת ושילוט — פברואר 2026,1520,,,0,0,1520,משותף,שולם,EYAL,,1,חודש,1520
1009,SUP-GEN,202602-GEN,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,01,,,השכרת גנרטור וציוד — פברואר 2026,4720,,,0,0,4720,משותף,שולם,EYAL,,1,חודש,4720
1010,SUP-BM,שלד-4,חשבון חלקי,4,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,02,02-01,,"חשבון חלקי מס׳ 4 — עבודות שלד, פברואר 2026",850000,1750000,2600000,5,42500,807500,A,שולם,EYAL,,,,
1011,SUP-DORON,עפר-4,חשבון חלקי,4,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,04,04-01,,"חשבון חלקי מס׳ 4 — עבודות עפר, דיפון וכלונסאות",500000,1650000,2150000,5,25000,475000,משותף,שולם,EYAL,,,,
1012,SUP-NTB,2026-041,חשבון חלקי,1,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,07,07-01,,חשבון חלקי מס׳ 1 — עבודות פיתוח ותשתיות חוץ,250000,0,250000,5,12500,237500,משותף,שולם,EYAL,,,,
1013,INTERNAL,הקצאה-4,חשבונית מס,,2026-02,2026-02-28,2026-02-28,2026-03-01,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — פברואר 2026",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
1014,SUP-PLADOT,ת.מ. 4452,חשבונית מס,,2026-03,2026-03-05,2026-03-05,2026-03-06,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 25 טון,100000,,,0,0,100000,A,שולם,EYAL,,25,טון,4000
1015,SUP-OREN,מק-1,חשבון מקדמה,,2026-03,2026-03-15,2026-03-15,2026-03-16,SARIT,14,14-01,,חשבון מקדמה 20% — 4 מעליות (טרם נמדדה כמות בכתב הכמויות),260000,,,0,0,260000,משותף,שולם,EYAL,,,,
1016,SUP-PLADOT,ת.מ. 4459,חשבונית מס,,2026-03,2026-03-19,2026-03-19,2026-03-20,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 26 טון,104000,,,0,0,104000,B,שולם,EYAL,,26,טון,4000
1017,SUP-CRANE,202603-CRA,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,השכרת מנוף צריח — מרץ 2026,30770,,,0,0,30770,משותף,שולם,EYAL,,1,חודש,30770
1018,SUP-GUARD,202603-GUA,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,שמירה באתר — מרץ 2026,16640,,,0,0,16640,משותף,שולם,EYAL,,1,חודש,16640
1019,SUP-TOILET,202603-TOI,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,שירותים ניידים — מרץ 2026,2330,,,0,0,2330,משותף,שולם,EYAL,,1,חודש,2330
1020,SUP-SCAFF,202603-SCA,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,השכרת פיגומים — מרץ 2026,12090,,,0,0,12090,משותף,שולם,EYAL,,1,חודש,12090
1021,SUP-FORM,202603-FOR,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,השכרת טפסות ותמיכות — מרץ 2026,14620,,,0,0,14620,משותף,שולם,EYAL,,1,חודש,14620
1022,SUP-UTIL,202603-UTI,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,חשמל ומים לאתר — מרץ 2026,5890,,,0,0,5890,משותף,שולם,EYAL,,1,חודש,5890
1023,SUP-LAB,202603-LAB,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,בדיקות בטון וקרקע — מרץ 2026,3960,,,0,0,3960,משותף,שולם,EYAL,,1,חודש,3960
1024,SUP-SURVEY,202603-SUR,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,מדידות — מרץ 2026,3420,,,0,0,3420,משותף,שולם,EYAL,,1,חודש,3420
1025,SUP-SAFETY,202603-SAF,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,ייעוץ בטיחות — מרץ 2026,2830,,,0,0,2830,משותף,שולם,EYAL,,1,חודש,2830
1026,SUP-WASTE,202603-WAS,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,פינוי פסולת בניין — מרץ 2026,5030,,,0,0,5030,משותף,שולם,EYAL,,1,חודש,5030
1027,SUP-PUMP,202603-PUM,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,משאבות בטון — מרץ 2026,12700,,,0,0,12700,משותף,שולם,EYAL,,1,חודש,12700
1028,SUP-FENCE,202603-FEN,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,גדרות ושערי אתר — מרץ 2026,1970,,,0,0,1970,משותף,שולם,EYAL,,1,חודש,1970
1029,SUP-OFFICE,202603-OFF,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,השכרת משרדי אתר — מרץ 2026,6480,,,0,0,6480,משותף,שולם,EYAL,,1,חודש,6480
1030,SUP-COMMS,202603-COM,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,תקשורת ושילוט — מרץ 2026,1500,,,0,0,1500,משותף,שולם,EYAL,,1,חודש,1500
1031,SUP-GEN,202603-GEN,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,01,,,השכרת גנרטור וציוד — מרץ 2026,4300,,,0,0,4300,משותף,שולם,EYAL,,1,חודש,4300
1032,SUP-BM,שלד-5,חשבון חלקי,5,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 5 — עבודות שלד, מרץ 2026",900000,2600000,3500000,5,45000,855000,A,שולם,EYAL,,,,
1033,SUP-DORON,עפר-5,חשבון חלקי,5,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,04,04-01,,"חשבון חלקי מס׳ 5 — עבודות עפר, דיפון וכלונסאות",350000,2150000,2500000,5,17500,332500,משותף,שולם,EYAL,,,,
1034,SUP-NTB,2026-048,חשבון חלקי,2,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,07,07-01,,חשבון חלקי מס׳ 2 — עבודות פיתוח ותשתיות חוץ,400000,250000,650000,5,20000,380000,משותף,שולם,EYAL,,,,
1035,INTERNAL,הקצאה-5,חשבונית מס,,2026-03,2026-03-31,2026-03-31,2026-04-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — מרץ 2026",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
1036,SUP-PLADOT,ת.מ. 4466,חשבונית מס,,2026-04,2026-04-02,2026-04-02,2026-04-03,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 24 טון,96000,,,0,0,96000,A,שולם,EYAL,,24,טון,4000
1037,SUP-PLADOT,ת.מ. 4473,חשבונית מס,,2026-04,2026-04-16,2026-04-16,2026-04-17,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 22000 ק״ג,88000,,,0,0,88000,B,שולם,EYAL,,22000,ק״ג,4
1038,SUP-DORON,עפר-6,חשבון חלקי,6,2026-04,2026-04-20,2026-04-20,2026-04-21,SARIT,04,04-01,,"חשבון חלקי מס׳ 6 — עבודות עפר, דיפון וכלונסאות",250000,2500000,2750000,5,12500,237500,משותף,שולם,EYAL,,,,
1039,SUP-CRANE,202604-CRA,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,השכרת מנוף צריח — אפריל 2026,28380,,,0,0,28380,משותף,שולם,EYAL,,1,חודש,28380
1040,SUP-GUARD,202604-GUA,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,שמירה באתר — אפריל 2026,17720,,,0,0,17720,משותף,שולם,EYAL,,1,חודש,17720
1041,SUP-TOILET,202604-TOI,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,שירותים ניידים — אפריל 2026,2450,,,0,0,2450,משותף,שולם,EYAL,,1,חודש,2450
1042,SUP-SCAFF,202604-SCA,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,השכרת פיגומים — אפריל 2026,11910,,,0,0,11910,משותף,שולם,EYAL,,1,חודש,11910
1043,SUP-FORM,202604-FOR,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,השכרת טפסות ותמיכות — אפריל 2026,15900,,,0,0,15900,משותף,שולם,EYAL,,1,חודש,15900
1044,SUP-UTIL,202604-UTI,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,חשמל ומים לאתר — אפריל 2026,5980,,,0,0,5980,משותף,שולם,EYAL,,1,חודש,5980
1045,SUP-LAB,202604-LAB,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,בדיקות בטון וקרקע — אפריל 2026,4270,,,0,0,4270,משותף,שולם,EYAL,,1,חודש,4270
1046,SUP-SURVEY,202604-SUR,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,מדידות — אפריל 2026,3250,,,0,0,3250,משותף,שולם,EYAL,,1,חודש,3250
1047,SUP-SAFETY,202604-SAF,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,ייעוץ בטיחות — אפריל 2026,3030,,,0,0,3030,משותף,שולם,EYAL,,1,חודש,3030
1048,SUP-WASTE,202604-WAS,חשבונית מס,,2026-04,2026-04-30,2026-04-30,2026-05-02,SARIT,01,,,פינוי פסולת בניין — אפריל 2026,5270,,,0,0,5270,משותף,שולם,EYAL,,1,חודש,5270
